,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,-241,214,597,4046.5002079999995,4222.092,-42317.62187200004,-0.04339349634848699,2017-08-19 18:30:00,2017-08-23 18:15:00,3 days 23:45:00
1,214,611,1543,4245.19344,4503.396676051421,55255.49251500416,0.06082249011753427,2017-08-23 21:45:00,2017-09-02 14:45:00,9 days 17:00:00
2,133,1549,1578,4729.800816,4493.5,-31428.00852799999,-0.049959993072148046,2017-09-02 16:15:00,2017-09-02 23:30:00,0 days 07:15:00
3,-132,1590,1911,4519.3816,4489.413451225624,3955.7956382175726,0.006631028628867219,2017-09-03 02:30:00,2017-09-06 10:45:00,3 days 08:15:00
4,202,1915,2123,4466.340216,4410.554190951761,-11268.777059744283,-0.012490321460150722,2017-09-06 11:45:00,2017-09-08 22:30:00,2 days 10:45:00
5,-131,2135,2330,4354.583543999999,4241.800111773866,14774.629621623462,0.02589993534089685,2017-09-09 01:30:00,2017-09-11 02:15:00,2 days 00:45:00
6,-232,2336,2797,4234.669552,3636.2616608200196,138830.6307537555,0.14131159086483092,2017-09-11 03:45:00,2017-09-15 23:00:00,4 days 19:15:00
7,83,2809,3378,3592.872,3726.7777055659944,11114.173561977552,0.037269823574564986,2017-09-16 02:00:00,2017-09-22 00:15:00,5 days 22:15:00
8,-280,3393,3758,3670.71108,3849.308727065988,-50007.341178476636,-0.04865478191380501,2017-09-22 04:00:00,2017-09-25 23:15:00,3 days 19:15:00
9,276,3771,4100,3911.917032,3958.528012990017,12864.630753244746,0.011915125144202454,2017-09-26 02:30:00,2017-09-29 12:45:00,3 days 10:15:00
10,-188,4112,4150,4053.284776,4259.367,-38743.458112000044,-0.05084326302958986,2017-09-29 15:45:00,2017-09-30 01:15:00,0 days 09:30:00
11,232,4154,4510,4209.354791999999,4202.9750019467365,-1480.1112923569453,-0.001515621839572101,2017-09-30 02:15:00,2017-10-03 19:15:00,3 days 17:00:00
12,219,5241,5653,4769.8027919999995,5608.26266611479,183622.71243113905,0.17578501893643694,2017-10-11 10:00:00,2017-10-15 17:00:00,4 days 07:00:00
13,-185,5666,5999,5545.540015999999,5538.249583270585,1348.7300549415204,0.0013146479348051798,2017-10-15 20:15:00,2017-10-19 07:30:00,3 days 11:15:00
14,-189,6321,6721,5866.333175999999,5814.659871775033,9766.254498518603,0.00880845030015831,2017-10-22 16:00:00,2017-10-26 20:00:00,4 days 04:00:00
15,205,7055,7746,6104.910023999999,7187.068030641631,221842.3913615345,0.1772602712222433,2017-10-30 07:30:00,2017-11-06 12:15:00,7 days 04:45:00
16,-195,7755,7983,7244.219984,7466.47193835001,-43339.13109825182,-0.030679901333875437,2017-11-06 14:30:00,2017-11-08 23:30:00,2 days 09:00:00
17,132,7998,7999,7406.920799999999,7030.95,-49628.14559999989,-0.050759392486011135,2017-11-09 03:15:00,2017-11-09 03:30:00,0 days 00:15:00
18,75,8004,8163,7250.795999999999,6886.55,-27318.44999999994,-0.05023531209538912,2017-11-09 04:45:00,2017-11-10 20:30:00,1 days 15:45:00
19,-127,8176,8599,6719.390184,6733.115132340898,-1743.0684392940148,-0.0020425883845203163,2017-11-10 23:45:00,2017-11-15 09:30:00,4 days 09:45:00
20,187,8665,9187,7152.707591999999,7966.860147473645,152246.52787357187,0.113824386779664,2017-11-16 02:00:00,2017-11-21 12:30:00,5 days 10:30:00
21,136,9196,9463,8046.572112,7969.688785877886,-10456.132352607427,-0.009554792407496793,2017-11-21 14:45:00,2017-11-24 09:30:00,2 days 18:45:00
22,144,9501,10017,8155.669319999999,9863.2646193031,245893.72309964648,0.20937524957217124,2017-11-24 19:00:00,2017-11-30 04:00:00,5 days 09:00:00
23,-29,10029,10044,9876.5924,10378.725,-14561.845400000024,-0.050840672538030596,2017-11-30 07:00:00,2017-11-30 10:45:00,0 days 03:45:00
24,46,10060,10079,10189.164816,9689.05,-23005.281536000053,-0.049083003860598384,2017-11-30 14:45:00,2017-11-30 19:30:00,0 days 04:45:00
25,-47,10104,10109,9063.763184,9524.571,-21657.96735200002,-0.050840672538030374,2017-12-01 01:45:00,2017-12-01 03:00:00,0 days 01:15:00
26,-49,10110,10130,9492.4,9985.4895,-24161.385500000004,-0.0519457144663098,2017-12-01 03:15:00,2017-12-01 08:15:00,0 days 05:00:00
27,-59,10135,10182,9792.16,10290.0,-29372.56000000001,-0.050840672538030374,2017-12-01 09:30:00,2017-12-01 21:15:00,0 days 11:45:00
28,66,10195,10410,10483.870391999999,11033.988130359003,36307.770731694254,0.05247277177127119,2017-12-02 00:30:00,2017-12-04 06:15:00,2 days 05:45:00
29,79,10411,10413,11150.213039999999,10557.806,-46800.15615999986,-0.0531296610992823,2017-12-04 06:30:00,2017-12-04 07:00:00,0 days 00:30:00
30,53,10416,10969,11141.446032,13372.709359890789,118256.9563782118,0.20026694214397733,2017-12-04 07:45:00,2017-12-10 02:30:00,5 days 18:45:00
31,-28,10974,10990,13988.230456,14698.95,-19900.14723200004,-0.05080839540323345,2017-12-10 03:45:00,2017-12-10 07:45:00,0 days 04:00:00
32,-32,10991,11052,14608.413912,15346.8,-23628.354815999977,-0.050545260590778796,2017-12-10 08:00:00,2017-12-10 23:15:00,0 days 15:15:00
33,30,11064,11080,15303.973391999998,14489.894,-24422.381759999935,-0.05319398898233507,2017-12-11 02:15:00,2017-12-11 06:15:00,0 days 04:00:00
34,35,11081,11293,14741.283599999999,15543.216365137234,28067.646779803224,0.05440047060333564,2017-12-11 06:30:00,2017-12-13 11:30:00,2 days 05:00:00
35,-37,11303,11476,15737.909592,16538.0355,-29604.658596000067,-0.050840672538030596,2017-12-13 14:00:00,2017-12-15 09:15:00,1 days 19:15:00
36,45,11492,11765,17068.684032,18346.640216453576,57508.028300410864,0.07487139500957962,2017-12-15 13:15:00,2017-12-18 09:30:00,2 days 20:15:00
37,-28,11774,11810,18278.985104,19146.75,-24297.417088000017,-0.04747336304848271,2017-12-18 11:45:00,2017-12-18 20:45:00,0 days 09:00:00
38,37,11821,11895,18794.503584,17840.506,-35297.91060799989,-0.050759392486011023,2017-12-19 00:30:00,2017-12-19 19:00:00,0 days 18:30:00
39,-26,11906,12584,17765.775999999998,15444.814192356042,60345.00699874287,0.13064229829555185,2017-12-19 21:45:00,2017-12-26 23:15:00,7 days 01:30:00
40,48,12598,12689,15542.423999999999,14753.5,-37868.351999999955,-0.050759392486011135,2017-12-27 02:45:00,2017-12-28 01:30:00,0 days 22:45:00
41,-36,12697,13273,14888.089992,14696.791222875607,6886.75568847813,0.012849114240119808,2017-12-28 03:30:00,2018-01-03 03:30:00,6 days 00:00:00
42,39,13285,13783,14611.690008,15544.084927663525,36363.40186687751,0.06381157273067206,2018-01-03 06:30:00,2018-01-08 12:45:00,5 days 06:15:00
43,-51,13791,14943,15797.541848,12845.215100061736,150568.6641448515,0.18688519874451448,2018-01-08 14:45:00,2018-01-20 14:45:00,12 days 00:00:00
44,53,14953,15036,12590.074008,11951.0095,-33870.41892399997,-0.050759392486011135,2018-01-20 17:15:00,2018-01-21 14:00:00,0 days 20:45:00
45,-50,15050,15708,11846.525192,11894.453507305792,-2396.4157652896574,-0.004045769922319531,2018-01-21 17:30:00,2018-01-28 14:00:00,6 days 20:30:00
46,96,15721,15810,11995.5888,11386.7,-58453.324799999886,-0.050759392486011135,2018-01-28 17:15:00,2018-01-29 15:30:00,0 days 22:15:00
47,-102,15819,16689,11460.843984000001,8167.621752633515,335908.6675993816,0.2873455249861192,2018-01-29 17:45:00,2018-02-07 19:15:00,9 days 01:30:00
48,63,16705,16714,8295.320952,7879.0244999999995,-26226.67647600003,-0.050184490076858546,2018-02-07 23:15:00,2018-02-08 01:30:00,0 days 02:15:00
49,67,16715,16742,7941.94848,7532.075,-27461.52316000001,-0.05160868029201826,2018-02-08 01:45:00,2018-02-08 08:30:00,0 days 06:45:00
50,67,16746,16910,7796.131919999999,8025.387460409353,15360.121207426695,0.029406318769597428,2018-02-09 19:00:00,2018-02-11 12:15:00,1 days 17:15:00
51,-92,16920,17003,8093.5199999999995,8505.0,-37856.16000000005,-0.050840672538030596,2018-02-11 15:00:00,2018-02-12 11:45:00,0 days 20:45:00
52,107,17014,17591,8421.732,10428.028481290348,214673.72349806727,0.2382284880699539,2018-02-12 14:30:00,2018-02-18 14:45:00,6 days 00:15:00
53,74,17593,17856,10569.448799999998,11006.072214866794,32310.13270014286,0.04130995126886794,2018-02-18 15:15:00,2018-02-21 09:00:00,2 days 17:45:00
54,-72,17869,18389,11128.769856,10114.605222452263,73019.85361543714,0.09112998531468042,2018-02-21 12:15:00,2018-02-26 22:15:00,5 days 10:00:00
55,96,18403,18624,10208.16,10270.08185864812,5944.498430219537,0.006065917721520764,2018-02-27 01:45:00,2018-03-01 09:00:00,2 days 07:15:00
56,-128,18632,18700,10411.664,10938.9,-67486.20799999987,-0.05063897567190012,2018-03-01 11:00:00,2018-03-02 04:00:00,0 days 17:00:00
57,140,18712,19106,10926.7344,11254.995611418552,45956.56959859731,0.03004202348128393,2018-03-02 07:00:00,2018-03-06 09:30:00,4 days 02:30:00
58,-159,19120,19655,11270.985992,9510.548778527726,279909.51694209164,0.1561919440519055,2018-03-06 13:00:00,2018-03-12 02:45:00,5 days 13:45:00
59,93,19665,19744,9532.619999999999,9044.0095,-45440.77649999989,-0.05125668494076119,2018-03-12 05:15:00,2018-03-13 01:00:00,0 days 19:45:00
60,-93,19754,20352,9218.81904,8347.540425478663,81028.9111504844,0.09451087072442821,2018-03-13 03:30:00,2018-03-19 09:00:00,6 days 05:30:00
